CMTE_ID,PAC_NAME,SPONSOR_NAME,TOTAL_TRANSACTIONS
C00691915,PRAYERIE PAC,Kevin Cramer,2500.00
C00755454,"US ENERGY PAC (THE PAC OF AMERICAN EXPLORATION & PRODUCTION COUNCIL, INC.)",#N/A,2500.00
C00925305,JUST ELECT SUPER STARS PAC,Jessica Hart Steinmann,2500.00
C00174227,BAKER & HOSTETLER POLITICAL ACTION COMMITTEE,#N/A,2000.00
C00333427,GW PAC,#N/A,2000.00
C00361758,"T-MOBILE US, INC.  POLITICAL ACTION COMMITTEE (T-PAC)",#N/A,2000.00
C00525592,COOL PAC,Daniel Webster,2000.00
C00526715,GREATER TOMORROW POLITICAL ACTION COMMITTEE,0,2000.00
C00570770,RURAL AMERICA COUNTS PAC (RAC PAC),Eric Crawford,2000.00
C00572271,BUILDING AMERICA'S REPUBLICAN REPRESENTATION PAC,0,2000.00
C00698092,LET'S ALL KEEP ELECTING REPUBLICANS PAC,#N/A,2000.00
C00706176,YOUR OHIO REPUBLICAN TEAM,0,2000.00
C00726729,BOOTS ON THE GROUND - FEDERAL,#N/A,2000.00
C00765644,BIG IDEAS CREATE EXCELLENCE PAC,0,2000.00
C00827881,CIRCLE THE WAGONS PAC,Nick Langworthy,2000.00
C00894352,HEBREW HAMMER PAC,0,2000.00
C00816389,ELECTING REPUBLICANS INDIANA PAC,#N/A,1500.00
C00832006,ULTRAGENYX PHARMACEUTICAL INC. POLITICAL ACTION COMMITTEE (AKA ULTRAGENYX PAC),#N/A,1500.00
C00089136,"ALTRIA GROUP,  INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",#N/A,1000.00
C00089458,"NATIONAL STONE, SAND & GRAVEL ASSOCIATION ROCKPAC",#N/A,1000.00
C00103903,"HDR, INC. EMPLOYEE OWNERS PAC",#N/A,1000.00
C00123612,TEXTRON INC. POLITICAL ACTION COMMITTEE,#N/A,1000.00
C00167684,AMERICAN SUGARBEET GROWERS ASSOCIATION PAC,#N/A,1000.00
C00480863,"NATIONAL SHOOTING SPORTS FOUNDATION, INC. POLITICAL ACTION COMMITTEE (NSSF PAC)",#N/A,1000.00
C00525238,IMPACT COMMITTEE,Michael R Turner,1000.00
C00531764,A NEW NATION PAC,Ann L. Wagner,1000.00
C00565630,MAINTAINING ALL REPUBLICANS IN OFFICE PAC,Mario Diaz-Balart,1000.00
C00760694,SCONNIE PAC,Scott Fitzgerald,1000.00
C00761528,OREGON FRONTIER PAC,Cliff Bentz,1000.00
C00778449,RESTORE AMERICA'S VOICE PAC,Cory Mills,1000.00
C00823500,SECURING THE REPUBLIC FOR OUR NEXT GENERATION,#N/A,1000.00
C00877506,SPACE COAST LEADERSHIP PAC,0,1000.00
C00880674,INDIANAENGRPAC,Mark Messmer,1000.00
C00881268,GUARDING OUR LASTING DEMOCRACY (GOLD) PAC,Craig Goldman,1000.00
C00881490,"FOR OUR NATION'S GREATNESS, RESILIENCE, EXCELLENCE, STRENGTH, AND SECURITY (FONGRESS) PAC",0,1000.00
C00938399,THE MAJORITY,#N/A,1000.00
C00942813,TRUTH AND EXCELLENCE PAC,Mark Charles Teixeira,1000.00
